category,headline,authors,link,short_description,date
HEALTHY LIVING,Exactly What Those Words On Your Beauty Products Mean,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/exactly-what-those-words-on-your-beauty-products-mean_us_5a4d43a4e4b0df0de8b06f11,"“You wouldn’t eat a plate of food without checking what was on your plate, so you should have that same mentality with your skin care.",2018-01-03
HEALTHY LIVING,This Is Your Body On Dry January,"Ashley Davidson, On Assignment For HuffPost",https://www.huffingtonpost.com/entry/your-body-on-dry-january_us_5a4baf2be4b06d1621bb0b77,There are benefits to banishing the booze.,2018-01-03
HEALTHY LIVING,6 Ways Logan Paul Could Have Actually Raised Suicide Awareness,Lindsay Holmes,https://www.huffingtonpost.com/entry/how-to-raise-suicide-awareness_us_5a4bcb96e4b0b0e5a7a90a30,Hint: Posting a video of someone who died by suicide isn't it.,2018-01-02
HEALTHY LIVING,16 Totally Relatable Tweets About Life As An Introvert,Sarah Bourassa,https://www.huffingtonpost.com/entry/introvert-tweets-december_us_5a496f80e4b025f99e1c77a5,"""I don’t get these escape the room things. Every social outing after 90 minutes turns into that for me.""",2018-01-02
HEALTHY LIVING,The Top 10 Workout Songs For January 2018,"Chris Lawhorn, ContributorDJ, Run Hundred",https://www.huffingtonpost.com/entry/the-top-10-workout-songs-for-january-2018_us_5a4be79be4b0df0de8b06d90,"With a new year upon us, there’s an opportunity to take stock of what’s going on in workout music right now. To that end",2018-01-02
HEALTHY LIVING,8 Things I Learned When I Quit My Job To Be A Freelance Writer,"Locke Hughes, ContributorFreelance Health Writer",https://www.huffingtonpost.com/entry/8-things-i-learned-when-i-quit-my-job-to-be-a-freelance_us_5a4674e4e4b06cd2bd03df84,"You know that interview question everyone hates: “Where do you see yourself in 10 years?” Well, throughout my 20s, I always",2017-12-29
HEALTHY LIVING,11 Weighted Blankets That Won't Weigh Down Your Wallet,Brittany Nims,https://www.huffingtonpost.com/entry/where-to-buy-weighted-blankets-for-adults-and-kids_us_5a456833e4b06d1621b7d526,Sleep tight 😴,2017-12-29
HEALTHY LIVING,World Health Organization’s Junk Diagnosis For 'Gaming Disorder' Trivializes Mental Illness,"Christopher J. Ferguson, ContributorProfessor of psychology, media effects researcher and author o...",https://www.huffingtonpost.com/entry/world-health-organizations-junk-diagnosis-for-gaming_us_5a453871e4b06cd2bd03deab,News media reported this week that the World Health Organization (WHO) is moving ahead with the inclusion of “gaming disorder,2017-12-28
HEALTHY LIVING,What I Wish I Could Tell People Who Ask Why I Don’t Drink,"The Mighty, ContributorWe face disability, disease and mental illness together.",https://www.huffingtonpost.com/entry/what-i-wish-i-could-tell-people-who-ask-why-i-dont_us_5a454123e4b06cd2bd03deb4,I wish I could them how my family fell apart because of alcohol.,2017-12-28
HEALTHY LIVING,Toasting 2017 Goodbye With Ketogenic Kool-Aid,"David L. Katz, M.D., M.P.H., ContributorFounder, True Health Initiative",https://www.huffingtonpost.com/entry/toasting-2017-goodbye-with-ketogenic-kool-aid_us_5a44f4cae4b06cd2bd03de4f,"I cannot profess to know why ketogenic diets are the flavor of the week, other than the fact that there always is one of",2017-12-28
HEALTHY LIVING,Hope Ahead: First U.S. Baby Born From A Uterine Transplant,"Dr. David Adamson, ContributorFounder and CEO, ARC Fertility",https://www.huffingtonpost.com/entry/hope-ahead-first-us-baby-born-from-a-uterine-transplant_us_5a454f9ae4b0d86c803c7594,"Hope has turned into happiness for one U.S. couple with the birth of their son last month, following the woman’s successful",2017-12-28
HEALTHY LIVING,What No One Tells You About Loving Someone In Recovery From Addiction,"The Mighty, ContributorWe face disability, disease and mental illness together.",https://www.huffingtonpost.com/entry/what-no-one-tells-you-about-loving-someone-in-recovery_us_5a4413f1e4b0d86c803c74bb,"The truth is if you are supporting a partner through recovery, you aren’t alone and your recovery matters too.",2017-12-28
HEALTHY LIVING,How Achievable The 6 Most Common New Year's Resolutions Really Are,Brittany Wong,https://www.huffingtonpost.com/entry/how-achievable-the-6-most-common-new-years-resolutions-really-are_us_5a43dc86e4b06d1621b68fa4,"New year, new you? Possibly, therapists say.",2017-12-27
HEALTHY LIVING,Caring For Your Grieving Heart During The Holidays,"Rhonda O'Neill, ContributorMother, Grief Survivor, Pediatric RN, and Author of the book, ...",https://www.huffingtonpost.com/entry/caring-for-your-grieving-heart-during-the-holidays_us_5a3b9dcae4b0d86c803c6f30,"Despite the fact that I have spent more than a decade of holidays without my late-husband and son, every single year I find",2017-12-22
HEALTHY LIVING,"After A Life In Acting, Sophia Bush Is Asking: 'How Do You Quit Your Dream Job?'","Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/after-a-life-in-acting-sophia-bush-is-asking-how_us_5a3bd510e4b06cd2bd03d8b3,"While she may be known to most as a bonafide television darling, Bush has had a knack for social advocacy since she was a child.",2017-12-21
HEALTHY LIVING,4 Of The Absolute Worst Holiday Stressors And How To Deal With Them,Fiona Tapp,https://www.huffingtonpost.com/entry/anxiety-at-holidays-how-to-deal_us_5a3bd6d9e4b0b0e5a7a052a8,From traveling to high expectations.,2017-12-21
HEALTHY LIVING,First US Baby Born After Uterus Transplantation Is Dawn Of A New Era,"Mayo Clinic Women's Health, ContributorOptimizing women's health and well-being throughout their life...",https://www.huffingtonpost.com/entry/first-us-baby-born-after-uterus-transplantation-is_us_5a3be58ae4b06cd2bd03d8d4,"A Texas woman recently gave birth to a boy, thanks to a transplanted uterus. Dr. Zaraq Khan, a Mayo Clinic reproductive endocrinologist",2017-12-21
HEALTHY LIVING,"Silent Night, Childfree Night","Dr. Amy Blackstone, ContributorProfessor of Sociology. Expert on the Childfree Choice, Workpl...",https://www.huffingtonpost.com/entry/silent-night-childfree-night_us_5a3bc6fde4b0df0de8b062e7,"Oh, the holidays. It’s the most wonderful time of the year, at least if Andy Williams is to be believed. It’s also a time",2017-12-21
HEALTHY LIVING,What You Should Know Before You Say 'Addiction Is A Choice',"The Mighty, ContributorWe face disability, disease and mental illness together.",https://www.huffingtonpost.com/entry/what-you-should-know-before-you-say-addiction-is-a_us_5a3bb535e4b06cd2bd03d861,Addiction is a disease that needs help to recover.,2017-12-21
HEALTHY LIVING,9 Things Not To Say To Someone With A Mental Illness During The Holidays,"The Mighty, ContributorWe face disability, disease and mental illness together.",https://www.huffingtonpost.com/entry/9-things-not-to-say-to-someone-with-a-mental-illness_us_5a3a8e2ee4b06cd2bd03d707,1. “How can you be sad around the holidays?”,2017-12-20
HEALTHY LIVING,"18 Realistic Ways To Become A Happier, More Chill Person In 2018",Lindsay Holmes,https://www.huffingtonpost.com/entry/how-to-be-happier-next-year_us_5a381f75e4b0c65287ab8319,Because it was basically impossible to be one this year.,2017-12-20
HEALTHY LIVING,What Do The New Blood Pressure Guidelines Mean For You?,"Mount Sinai Health System, ContributorMount Sinai Health System",https://www.huffingtonpost.com/entry/what-do-the-new-blood-pressure-guidelines-mean-for_us_5a391e99e4b0c12e6337b0dd,"Valentin Fuster, MD, PhD Physician-in-Chief The Mount Sinai Hospital Director of Mount Sinai Heart New U.S. guidelines for",2017-12-19
HEALTHY LIVING,What To Do After An Abnormal Pap Smear,"Gemma Hartley, On Assignment For HuffPost",https://www.huffingtonpost.com/entry/abnormal-pap-smear-what-to-do_us_5a315f17e4b01bdd765953c4,No need to panic.,2017-12-19
HEALTHY LIVING,California Health Officials Advise Caution Against Cellphone Radiation,Dominique Mosbergen,https://www.huffingtonpost.com/entry/california-cellphone-radiation-guidelines_us_5a377f55e4b0ff955ad4509c,"New guidelines advise people to keep phones ""away from the body.""",2017-12-18
HEALTHY LIVING,6 Conversation Starters For Actually Meaningful Catch-Ups With Relatives,Brittany Wong,https://www.huffingtonpost.com/entry/conversation-starters-for-actually-meaningful-catch-ups-with-family_us_5a340fd7e4b01d429cc88296,"Cheers to a quality, not-awkward conversation.",2017-12-18
HEALTHY LIVING,To Those Who Are Suffering This Season,"Rica Lewis, ContributorWriter/ Editor and Yogi (basically a flexible word nerd) who b...",https://www.huffingtonpost.com/entry/to-those-who-are-suffering-this-season_us_5a33b6cfe4b0e7f1200cfa02,Deck the halls with drama. Fat Santa inflatables puff to life on lawns in my neighborhood. Colored lights burn warm around,2017-12-15
HEALTHY LIVING,"Diet, As A Matter Of Taste","David L. Katz, M.D., M.P.H., ContributorFounder, True Health Initiative",https://www.huffingtonpost.com/entry/diet-as-a-matter-of-taste_us_5a33d449e4b0e1b4472ae5a0,"Some years ago, I found myself at a corporate meeting of Kraft. I don’t recall exactly how or why I wound up on that guest",2017-12-15
HEALTHY LIVING,Seasonal Influenza Deaths More Common Worldwide Than Previously Thought,"Dr. Melvin Sanicas, ContributorVaccinologist, Public Health Physician, Gates Global Health Fe...",https://www.huffingtonpost.com/entry/seasonal-influenza-deaths-more-common-worldwide-than_us_5a33ef00e4b0e7f1200cfa3b,"Up to 650,000 people in the world die from seasonal flu each year. This is much higher than the often-used numbers of 250,000",2017-12-15
HEALTHY LIVING,"How To Beat The Winter Blues, According To Top Experts",Paige Smith,https://www.huffingtonpost.com/entry/difference-between-sad-and-winter-blues_us_5a3410b0e4b0ff955ad2a770,It's normal to feel low this time of year.,2017-12-15
HEALTHY LIVING,What To Do When Someone Gives You A Gift And You Didn't Get Them One,Brittany Wong,https://www.huffingtonpost.com/entry/etiquette-unexpected-gift-giving_us_5a32ba32e4b0bb42ac174696,"Well, this is awkward. 😬",2017-12-15
HEALTHY LIVING,My Friend Died From Cancer Today,"Carey Gillam, ContributorI am a veteran journalist and research director for U.S. Right...",https://www.huffingtonpost.com/entry/my-friend-died-from-cancer-today_us_5a32f244e4b02bd1c8c6055e,"My friend died from cancer today. His was a short, eight-month-long battle for survival, but it was a brutal one. Now his",2017-12-14
HEALTHY LIVING,Lawmakers Push Back Against The Latest Flimsy Campaign To Crack Down On Kratom,Nick Wing,https://www.huffingtonpost.com/entry/congress-kratom-letters-fda-dea_us_5a318531e4b01bdd76598fce,"The herbal drug ""should be legal and available for those struggling with addiction,"" said Rep. Jared Polis.",2017-12-14
HEALTHY LIVING,Americans Spend More on Soft Drinks Than Any Other Food Item,"Susan Blumenthal, M.D., ContributorFormer U.S. Assistant Surgeon General",https://www.huffingtonpost.com/entry/sugar-sweetened-beverages-are-the-1-category-of-food_us_5a32a844e4b0b0232b691bf7,"An additional 10 percent of food dollars were spent on desserts, salty snacks, candy and sugar.",2017-12-14
HEALTHY LIVING,I Always Knew My Chronic Illness Would Come Back. Here's How I Cope.,"Kathryn Poe, ContributorStudent at Capital University",https://www.huffingtonpost.com/entry/because-it-happened-again-i-always-knew-my-chronic_us_5a3033eae4b04bd8793e9509,Those of us will illnesses that never quite disappear know moments of calm and comfort are few and far between.,2017-12-12
HEALTHY LIVING,It's Suddenly Cold Out. Am I Going To Get Sick?,"The Atlantic, ContributorExploring the American idea since 1857",https://www.huffingtonpost.com/entry/its-suddenly-cold-out-am-i-going-to-get-sick_us_5a302c3ce4b0b73dde46a7dd,"By Katie Heaney A couple of weeks ago, the temperature in New York dropped something like 30 degrees in the span of a day",2017-12-12
HEALTHY LIVING,The Way Over-The-Counter Drugs Are Regulated Is A Mess — And Congress Is Ready To Step In,"STAT, ContributorReporting from the frontiers of health and medicine.",https://www.huffingtonpost.com/entry/the-way-over-the-counter-drugs-are-regulated-is-a-mess_us_5a2ed6ace4b0cf10effbaf62,"By Erin Mershon WASHINGTON — The Food and Drug Administration has, for years, limited the amount of acetaminophen in any",2017-12-11
HEALTHY LIVING,"Worried About Flu Shot Side Effects? Be Worried About The Flu, Instead","James LaVelle Dickens, DNP, FNP-BC, FAANP, ContributorCaptain, U.S. Public Health Service Commissioned Corps",https://www.huffingtonpost.com/entry/worried-about-flu-shot-side-effects-be-worried-about_us_5a2f022ee4b0cf10effbafc2,"When it comes to flu shots, African-Americans have trust issues. Misconceptions about the effectiveness and trepidation about",2017-12-11
HEALTHY LIVING,This Doctor Wants To Transform Transgender Care In America,Anna Almendrala,https://www.huffingtonpost.com/entry/maurice-garcia-transgender-care_us_5a284a23e4b0fa798611be0c,More transgender surgical centers mean more options for patients.,2017-12-09
HEALTHY LIVING,"This Week, What About Cheese?","David L. Katz, M.D., M.P.H., ContributorFounder, True Health Initiative",https://www.huffingtonpost.com/entry/this-week-what-about-cheese_us_5a2a9772e4b04e0bc8f3b3c0,"Blessed, so Monty Python tells us, are the cheese makers. They go on to clarify that this particular Messianic assertion",2017-12-08
HEALTHY LIVING,Just A Reminder That You Should Get Regular Physicals,Lindsay Holmes,https://www.huffingtonpost.com/entry/benefit-of-physicals_us_5a2960b9e4b0fa7986129cc3,"Yes, even if you're healthy.",2017-12-08
HEALTHY LIVING,Medicine And Why Net Neutrality Matters,"Albert Einstein College of Medicine, ContributorDedicated to biomedical research, medical education and clinic...",https://www.huffingtonpost.com/entry/medicine-and-why-net-neutrality-matters_us_5a2aff32e4b0d7c3f26222ad,"By Nancy R. Glassman, M.L.S., M.P.H Recently, the library at Einstein, where I work as a medical librarian, experienced a",2017-12-08
HEALTHY LIVING,Women Need Answers On Drug Use During Pregnancy. Here’s How To Improve Research,"STAT, ContributorReporting from the frontiers of health and medicine.",https://www.huffingtonpost.com/entry/women-need-answers-on-drug-use-during-pregnancy-heres_us_5a2b032fe4b04e0bc8f3b485,"By Megan Thielking For decades, it’s been taboo to test medications on pregnant women. But doctors, patients, and public",2017-12-08
HEALTHY LIVING,"Investors See Big Money In Infertility, And They’re Transforming The Industry","STAT, ContributorReporting from the frontiers of health and medicine.",https://www.huffingtonpost.com/entry/investors-see-big-money-in-infertility-and-theyre_us_5a2b08afe4b022ec613b8239,By Rebecca Robbins Investors searching for a new way to make big money in medicine have hit upon an age-old problem: infertility,2017-12-08
HEALTHY LIVING,Doctors And Patients To Congress: Don't Sacrifice Health Care For Wealth Care In The GOP Tax Scam,"Sanjeev K. Sriram, MD, MPH, ContributorDr. America for We Act Radio; health justice activist; policy ...",https://www.huffingtonpost.com/entry/doctors-and-patients-to-congress-dont-sacrifice-health_us_5a2b0c9ee4b04e0bc8f3b48d,My patients are struggling to survive the Trump Administration and the GOP Congress. That is not hyperbole or exaggeration,2017-12-08
HEALTHY LIVING,This Is The Healthiest Way To Browse Instagram,Suzy Strutner,https://www.huffingtonpost.com/entry/healthiest-way-to-use-instagram_us_5a297d0ee4b0fa798612df41,Psychologists give their top five tips for using the app.📱,2017-12-08
HEALTHY LIVING,"What Is Mindful Eating, And How Do You Practice It?",Lindsay Holmes,https://www.huffingtonpost.com/entry/mindful-eating_us_5a280365e4b044d1672669b4,It seems too good to be true.,2017-12-07
HEALTHY LIVING,This Year's Flu Season Looks Like A Bad One — And It Could Be Coming Early,"Popular Science, ContributorPopular Science brings its readers amazing innovations and dis...",https://www.huffingtonpost.com/entry/this-years-flu-season-looks-like-a-bad-oneand-it_us_5a294f98e4b09ee35b8ae6ba,It’s officially that time of year.,2017-12-07
HEALTHY LIVING,How Long Should I Wait After A Cold To Hang Out With People Again?,"Health.com, ContributorHealth.com",https://www.huffingtonpost.com/entry/how-long-should-i-wait-after-a-cold-to-hang-out-with_us_5a280287e4b0cd6fb5ee8bbc,"""In an ideal world, it would be best to avoid social activities for 5-7 days after the onset of symptoms.""",2017-12-06
HEALTHY LIVING,Learn New Habits To Break Emotional Eating Patterns,"Tufts Health & Nutrition Letter, ContributorA publication of the Friedman School of Nutrition Science & Po...",https://www.huffingtonpost.com/entry/learn-new-habits-to-break-emotional-eating-patterns_us_5a15b93fe4b009b331ad76b2,The keys are identifying what triggers your emotional eating and adopting practical strategies to respond more healthfully to it.,2017-12-05
HEALTHY LIVING,Should Women Be Paid For Donating Their Breast Milk?,"The Atlantic, ContributorExploring the American idea since 1857",https://www.huffingtonpost.com/entry/should-women-be-paid-for-donating-their-breast-milk_us_5a26e03fe4b0f69ae8ce8074,"By Melody Schreiber When Ariyah Georges was born 15 weeks early, she weighed only one pound, 12 ounces. Her mother, Jovan",2017-12-05
HEALTHY LIVING,16 Tweets That Define What It Means To Be An Introvert,Sarah Bourassa,https://www.huffingtonpost.com/entry/introvert-tweets-november_us_5a20610ae4b03c44072c0c62,Could these be any more accurate?,2017-12-04
HEALTHY LIVING,The Top 10 Workout Songs For December 2017,"Chris Lawhorn, ContributorDJ, Run Hundred",https://www.huffingtonpost.com/entry/the-top-10-workout-songs-for-december-2017_us_5a24c2f6e4b05072e8b56a88,"Even if you don’t know Venn diagrams by name, you probably know what one looks like. (They included two circles, side-by",2017-12-04
HEALTHY LIVING,How To Report Sexual Harassment At A Previous Job,Suzy Strutner,https://www.huffingtonpost.com/entry/how-to-report-sexual-harassment-at-old-job_us_5a2190ade4b03c44072d5077,Read this before you call his HR department.,2017-12-02
HEALTHY LIVING,Why Donald Trump's World AIDS Day Statement Falls Flat,Anna Almendrala,https://www.huffingtonpost.com/entry/donald-trump-world-aids-day-statement_us_5a20bd70e4b0a02abe90049a,"If he truly wants to end AIDS, he seems to be going about it the wrong way.",2017-12-01
HEALTHY LIVING,How To Be A Good Guy In The Office Without Avoiding Women Altogether,Brittany Wong,https://www.huffingtonpost.com/entry/how-to-be-a-good-guy-in-the-office-without-avoiding-women-altogether_us_5a204f82e4b037b8ea20b6b5,"Don't worry, it's pretty simple.",2017-12-01
HEALTHY LIVING,11 Ways To Take Care Of Yourself During This Hellish News Cycle,Lindsay Holmes,https://www.huffingtonpost.com/entry/self-care-news_us_5a205dd7e4b0a02abe8fa1d9,You're not alone if you feel triggered by all the sexual misconduct reports.,2017-12-01
HEALTHY LIVING,Companies Love Misery?,"David L. Katz, M.D., M.P.H., ContributorFounder, True Health Initiative",https://www.huffingtonpost.com/entry/companies-love-misery_us_5a217f39e4b05072e8b56877,An article just published in the New England Journal of Medicine predicts the future prevalence of obesity among adults in,2017-12-01
HEALTHY LIVING,32 Gifts People With Anxiety Really Want For The Holidays,"The Mighty, ContributorWe face disability, disease and mental illness together.",https://www.huffingtonpost.com/entry/32-gifts-people-with-anxiety-really-want-for-the-holidays_us_5a21c08be4b0545e64bf931f,"“I would love to have a peaceful, calm, stress-free time (and mind), with my husband, without a panic attack, feelings of fear or tears.”",2017-12-01
HEALTHY LIVING,How Do We Explain Unexplained Infertility?,"Janet Choi, MD, ContributorJanet M. Choi, M.D., is a board-certified reproductive endocri...",https://www.huffingtonpost.com/entry/unexplained-infertility-how-do-we-explain-it_us_5a203804e4b064ca3c1512f0,“Unexplained infertility.” It’s a maddening diagnosis. Infertility is defined as 12 months or more of natural conception,2017-11-30
HEALTHY LIVING,Big Tobacco Is Still In The Business Of Deceiving Americans,"Sen. Richard Blumenthal, ContributorU.S. Senator from Connecticut",https://www.huffingtonpost.com/entry/big-tobacco-is-still-in-the-business-of-deceiving-americans_us_5a202d96e4b0392a4ebbf5f3,"A new anti-smoking campaign is the result of a major lawsuit win, but it also shows how much power the tobacco companies still have.",2017-11-30
HEALTHY LIVING,"New HIV Cases In New York City Hit Record Low, Health Department Says",Jenna Amatulli,https://www.huffingtonpost.com/entry/hiv-cases-in-new-york-city-hit-record-low-health-department-says_us_5a201f8ce4b037b8ea203d73,"""It’s good and big news,” a deputy health commissioner said.",2017-11-30
HEALTHY LIVING,"Your Christmas Tree May Be Filled With As Many As 25,000 Bugs",,https://www.huffingtonpost.com/entry/your-christmas-tree-may-be-filled-with-as-many-as-25000-bugs_us_5a1f2564e4b037b8ea1f48d4,"Finding the perfect Christmas tree may be your goal this holiday season, but beware ― chances are, it’s probably filled with",2017-11-29
HEALTHY LIVING,13 Gorgeous Photos That Capture The Complicated Bond Between Sisters,Brittany Wong,https://www.huffingtonpost.com/entry/photos-capturing-sisters-bond_us_5a1da35be4b079c1128a3499,"""Because every girl needs a sister.""",2017-11-29
HEALTHY LIVING,I'm The Only Single Person In My Friend Group — Here's Why,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/im-the-only-single-person-in-my-friend-group-heres_us_5a1f2d92e4b0dff40be0360e,"The worst truth, though — the truth I hate to admit to myself — is that I see other women as competition.",2017-11-29
HEALTHY LIVING,Trapped In A Cycle Of Harassment As A Chronically Ill Person,"Nika C. Beamon, ContributorVeteran TV news writer/producer, author",https://www.huffingtonpost.com/entry/trapped-in-a-cycle-of-harassment-as-a-chronically_us_5a1ecd72e4b00579aa29f91c,Here’s the sad truth: I expected to face some workplace harassment when I entertained the entertainment/journalism industry,2017-11-29
HEALTHY LIVING,World War II Soldier's Battlefield Bible Finds Its Way Home To Family After 73 Years,"Alex Eriksen, Yahoo Lifestyle",https://www.huffingtonpost.com/entry/ww2-soldiers-battlefield-bible-finds-its-way-home-to-family-after-73-years_us_5a1c519be4b0b40aa6a31d81,A Bible belonging to an American soldier serving in World War II has found its way back home after more than 70 years. The,2017-11-27
HEALTHY LIVING,How To Transform Your Relationship With Money To Plan For The Future,"The Wild Word magazine, ContributorOnline arts/culture/politics magazine www.thewildword.com",https://www.huffingtonpost.com/entry/how-to-transform-your-relationship-with-money-to-plan_us_5a1690cbe4b068a3ca6df677,"By Hadassah Damien Hustling, freelancing, random day jobs … after I left home, I was on my own to make it work with my labor",2017-11-27
HEALTHY LIVING,10 Facts Everyone Should Know About HPV,Lindsay Holmes,https://www.huffingtonpost.com/entry/hpv-facts-you-should-know_us_5a15bfe1e4b09650540f0168,First thing: Don't stress.,2017-11-27
HEALTHY LIVING,12 Simple Things You Can Do To Make Thanksgiving More Meaningful,Suzy Strutner,https://www.huffingtonpost.com/entry/how-to-make-thanksgiving-meaningful_us_5a146e8ce4b025f8e93205ba,Make this year about more than just eating with these expert tips.,2017-11-22
HEALTHY LIVING,'This Is Us' Breaks Down The Stigma Of Miscarriage,"Seleni Institute, ContributorNonprofit organization prioritize the emotional health of wome...",https://www.huffingtonpost.com/entry/this-is-us-breaks-down-the-stigma-of-miscarriage_us_5a15c966e4b0f401dfa7ecd7,"By Christiane Manzella, PhD Last night, like many “This is Us” fans, we at the Seleni Institute were anticipating a heart",2017-11-22
HEALTHY LIVING,The Benefits Of Being Mindful,"Dr. Kurt Smith, ContributorClinical Director, Guy Stuff Counseling & Coaching",https://www.huffingtonpost.com/entry/the-benefits-of-being-mindful_us_5a1389aae4b08b00ba673354,Have you ever spent time getting things done only to think a bit later that you are not sure if you have actually done them,2017-11-21
HEALTHY LIVING,35 Thoughtful Questions To Ask At Thanksgiving Dinner,Caroline Bologna,https://www.huffingtonpost.com/entry/thanksgiving-35-questions_us_5a0e0f97e4b0dd63b1a95a2f,"Beyond the traditional, ""What are you most thankful for?""",2017-11-21
HEALTHY LIVING,I Love Someone With Depression,"Healthline, ContributorWe want to be your most trusted ally in pursuit of health and ...",https://www.huffingtonpost.com/entry/i-love-someone-with-depression_us_5a14b180e4b0f401dfa7eb5b,"This kind of dynamic can be hard on any relationship, but especially one like ours in which we both have chronic health issues.",2017-11-21
HEALTHY LIVING,Sweaters Promote Self-Love With Body Positive Slogans,"Mandy Velez, Yahoo Lifestyle",https://www.huffingtonpost.com/entry/sweaters-promote-self-love-with-body-positive-slogans_us_5a146a3ae4b09650540dc505,Messages that allude to some bodies being better than others surround people on a daily basis. They’re on TV and red carpets,2017-11-21
HEALTHY LIVING,Time To Save The World,"David L. Katz, M.D., M.P.H., ContributorFounder, True Health Initiative",https://www.huffingtonpost.com/entry/time-to-save-the-world_us_5a14900ee4b009b331ad7565,"More than 15,000 scientists from nearly 200 countries have signed their support for a scientific publication reminding humanity",2017-11-21
HEALTHY LIVING,6 Creative Ways To Show Gratitude This Holiday Season,"Corinne Keating, ContributorWriter. Health & Wellness Enthusiast. Adventure Seeker.",https://www.huffingtonpost.com/entry/6-creative-ways-to-show-gratitude-this-holiday-season_us_5a1434e0e4b05ec0ae8445a1,The holidays are a wonderful time of year when families and friends unite in order to celebrate and spend quality time together,2017-11-21
HEALTHY LIVING,11 Images That People With Anxiety Will Understand,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/11-images-that-people-with-anxiety-will-understand_us_5a134664e4b05ec0ae8444a1,"""To me, it feels like an elephant is sitting on my chest. The worst feeling, where I almost can't breathe.""",2017-11-20
HEALTHY LIVING,17 Thanksgiving Conversation Topics That Aren't About Politics,Caroline Bologna,https://www.huffingtonpost.com/entry/thanksgiving-conversation-topics_us_5a0c71abe4b0bc648a0f6443,For families who just need one peaceful meal.,2017-11-20
